#segunda, 03 março 2025#
2025/03/03 13:28:25 NOTICE: Config file "/home/rothmans/.config/rclone/rclone.conf" not found - using defaults
2025/03/03 13:28:25 CRITICAL: Failed to create file system for "gDrive:/Linux/Area-de-Trabalho": didn't find section in config file ("gDrive")
#segunda, 03 março 2025#
2025/03/03 13:28:25 NOTICE: Config file "/home/rothmans/.config/rclone/rclone.conf" not found - using defaults
2025/03/03 13:28:25 CRITICAL: Failed to create file system for "gDrive:/Linux/Imagens": didn't find section in config file ("gDrive")
#segunda, 03 março 2025#
2025/03/03 13:28:25 NOTICE: Config file "/home/rothmans/.config/rclone/rclone.conf" not found - using defaults
2025/03/03 13:28:25 CRITICAL: Failed to create file system for "gDrive:/Linux/Musicas": didn't find section in config file ("gDrive")
#segunda, 03 março 2025#
2025/03/03 13:28:25 NOTICE: Config file "/home/rothmans/.config/rclone/rclone.conf" not found - using defaults
2025/03/03 13:28:25 CRITICAL: Failed to create file system for "gDrive:/Linux/Videos": didn't find section in config file ("gDrive")
#segunda, 03 março 2025#
2025/03/03 13:28:25 NOTICE: Config file "/home/rothmans/.config/rclone/rclone.conf" not found - using defaults
2025/03/03 13:28:25 CRITICAL: Failed to create file system for "gDrive:/Linux/Documentos": didn't find section in config file ("gDrive")
#segunda, 03 março 2025#
2025/03/03 17:03:42 INFO  : gDrive-Rclone/README.md: Copied (new)
2025/03/03 17:03:43 INFO  : gDrive-Rclone/Windows/WDocumentos.sh: Copied (new)
2025/03/03 17:03:43 INFO  : gDrive-Rclone/Windows/RecuperarWin.sh: Copied (new)
2025/03/03 17:03:43 INFO  : gDrive-Rclone/Windows/SubirWin.sh: Copied (new)
2025/03/03 17:03:44 INFO  : gDrive-Rclone/Windows/WImagens.sh: Copied (new)
2025/03/03 17:03:45 INFO  : gDrive-Rclone/Windows/WVideos.sh: Copied (new)
2025/03/03 17:03:46 INFO  : gDrive-Rclone/Windows/WMusicas.sh: Copied (new)
2025/03/03 17:03:49 INFO  : gDrive-Rclone/Linux/LAreaTrabalho.sh: Copied (new)
2025/03/03 17:03:51 INFO  : gDrive-Rclone/.git/HEAD: Copied (new)
2025/03/03 17:03:51 INFO  : gDrive-Rclone/.git/config: Copied (new)
2025/03/03 17:03:51 INFO  : gDrive-Rclone/Linux/LImagens.sh: Copied (new)
2025/03/03 17:03:51 INFO  : gDrive-Rclone/Linux/LDocumentos.sh: Copied (new)
2025/03/03 17:03:53 INFO  : gDrive-Rclone/Linux/LMusicas.sh: Copied (new)
2025/03/03 17:03:53 INFO  : gDrive-Rclone/Linux/LVideos.sh: Copied (new)
2025/03/03 17:03:53 INFO  : gDrive-Rclone/.git/description: Copied (new)
2025/03/03 17:03:54 ERROR : gDrive-Rclone/Linux/rcl-032025.log: Failed to copy: Post "https://www.googleapis.com/upload/drive/v3/files?alt=json&fields=id%2Cname%2Csize%2Cmd5Checksum%2Csha1Checksum%2Csha256Checksum%2Ctrashed%2CexplicitlyTrashed%2CmodifiedTime%2CcreatedTime%2CmimeType%2Cparents%2CwebViewLink%2CshortcutDetails%2CexportLinks%2CresourceKey&keepRevisionForever=false&prettyPrint=false&supportsAllDrives=true&uploadType=multipart": googleapi: Copy failed: can't copy - source file is being updated (size changed from 2431 to 2504)
2025/03/03 17:03:54 INFO  : gDrive-Rclone/Linux/RecuperarLinux.sh: Copied (new)
2025/03/03 17:03:55 INFO  : gDrive-Rclone/Linux/SubirLinux.sh: Copied (new)
2025/03/03 17:03:55 INFO  : gDrive-Rclone/.git/index: Copied (new)
